id,subject_code,name,college,branch,year,description,portion_link
1,MA100,Mathematics-I,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1ualhwAtY5L_3Pn0QM7ypzAN6BoenkJZG/view?usp=sharing
2,PH100,Physics,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1X0ZeJdh6wlg0IihmePp3HuaDB0IR1gwC/view?usp=sharing
3,ME100,Engineering Mechanics,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1pvEtAE3bxdaza93FCWkSmxhQCG_Ansc9/view?usp=sharing
4,CS100,Computer Programming and Problem solving,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1gp7BmrnrazgjIQwL_X42gpnZtz4Oocmo/view?usp=sharing
5,HU100,Professional Communication,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1Co8zJ36XNbIAytuSFXyVK-8Z4JXxLNVa/view?usp=sharing
6,ME101,Engineering Drawing,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1TmPqQgdeAO7DvCtaO9M90pOSmvFNCrAy/view?usp=sharing
7,PH101,Physics Laboratory,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1X0ZeJdh6wlg0IihmePp3HuaDB0IR1gwC/view?usp=sharing
8,MA150,Mathematics-II,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1i_cdcRAmMdIXfUzt4rFwZaNdfxouHoye/view?usp=sharing
9,PH150,Material Science,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1d9vbSXnZSe_KwwTw96YNG2gLeTSgEWjP/view?usp=sharing
10,CY150,Chemistry,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1M86D2GzyqUyBQWJfXYi9JyZx3nSLB40Z/view?usp=sharing
11,ME150,Elements of Mechanical Engineering,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1jdfWyCF2xNc5qFb6NKreCiUF4AyS2LOZ/view?usp=sharing
12,EE151,Basic electrical science,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1TIT3RJHS1V_vrnz5FoFHWmnISByjpEtc/view?usp=sharing
13,ME151,Workshop Practices,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1OYIFwaClHkwmB4hkNn0xF2RDM4GJ30EF/view?usp=sharing
14,CY151,Chemistry- Laboratory,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1K1W_aeqleEK4iwofu9ClZNxTEjIN0Hts/view?usp=sharing
15,EE152,Basic Electrical Science Lab,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/1NlNbdgOLw9zEIow6XcXz7RHakJqM1Ged/view?usp=sharing
16,PE150,Physical Education,NITG,CSE,FIRST,NULL,https://drive.google.com/file/d/11KmWkZguq65i3K2kz9XwdhuWBb2Jj91D/view?usp=sharing
1,MA100,Mathematics-I,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1ualhwAtY5L_3Pn0QM7ypzAN6BoenkJZG/view?usp=sharing
2,PH100,Physics,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1X0ZeJdh6wlg0IihmePp3HuaDB0IR1gwC/view?usp=sharing
3,ME100,Engineering Mechanics,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1pvEtAE3bxdaza93FCWkSmxhQCG_Ansc9/view?usp=sharing
4,CS100,Computer Programming and Problem solving,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1gp7BmrnrazgjIQwL_X42gpnZtz4Oocmo/view?usp=sharing
5,HU100,Professional Communication,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1Co8zJ36XNbIAytuSFXyVK-8Z4JXxLNVa/view?usp=sharing
6,ME101,Engineering Drawing,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1TmPqQgdeAO7DvCtaO9M90pOSmvFNCrAy/view?usp=sharing
7,PH101,Physics Laboratory,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1X0ZeJdh6wlg0IihmePp3HuaDB0IR1gwC/view?usp=sharing
8,MA150,Mathematics-II,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1i_cdcRAmMdIXfUzt4rFwZaNdfxouHoye/view?usp=sharing
9,PH150,Material Science,NITG,CVE,FIRST,NULL,https://drive.google.com/file/d/1d9vbSXnZSe_KwwTw96YNG2gLeTSgEWjP/view?usp=sharing
